id,name,bpm,nps
319,AllMapsGroupedV1,109.0,39.0
579,AllMapsGroupedV1,163.0,39.0
862,AllMapsGroupedV1,240.0,39.0
913,AllMapsGroupedV1,285.0,39.0
284,AllMapsGroupedV1,100.0,40.0
589,AllMapsGroupedV1,165.0,40.0
891,AllMapsGroupedV1,256.0,40.0
915,AllMapsGroupedV1,296.0,40.0
346,AllMapsGroupedV1,114.0,41.0
383,AllMapsGroupedV1,120.0,41.0
590,AllMapsGroupedV1,165.0,41.0
841,AllMapsGroupedV1,225.0,41.0
601,AllMapsGroupedV1,169.0,42.0
693,AllMapsGroupedV1,188.0,42.0
711,AllMapsGroupedV1,190.0,42.0
487,AllMapsGroupedV1,140.0,43.0
517,AllMapsGroupedV1,149.0,43.0
788,AllMapsGroupedV1,207.0,43.0
977,AllMapsGroupedV1,360.0,43.0
285,AllMapsGroupedV1,100.0,44.0
320,AllMapsGroupedV1,109.0,44.0
384,AllMapsGroupedV1,120.0,44.0
771,AllMapsGroupedV1,200.0,44.0
942,AllMapsGroupedV1,313.0,44.0
385,AllMapsGroupedV1,120.0,45.0
571,AllMapsGroupedV1,160.0,45.0
680,AllMapsGroupedV1,184.0,45.0
912,AllMapsGroupedV1,280.0,45.0
999,AllMapsGroupedV1,500.0,45.0
518,AllMapsGroupedV1,149.0,46.0
602,AllMapsGroupedV1,169.0,46.0
774,AllMapsGroupedV1,200.0,46.0
975,AllMapsGroupedV1,350.0,46.0
433,AllMapsGroupedV1,129.0,47.0
572,AllMapsGroupedV1,160.0,47.0
584,AllMapsGroupedV1,164.0,47.0
829,AllMapsGroupedV1,220.0,47.0
242,AllMapsGroupedV1,1000.0,47.0
287,AllMapsGroupedV1,100.0,48.0
386,AllMapsGroupedV1,120.0,48.0
448,AllMapsGroupedV1,131.0,48.0
542,AllMapsGroupedV1,150.0,48.0
815,AllMapsGroupedV1,216.0,48.0
211,AllMapsGroupedV1,80.0,49.0
334,AllMapsGroupedV1,110.0,49.0
775,AllMapsGroupedV1,200.0,49.0
932,AllMapsGroupedV1,300.0,49.0
220,AllMapsGroupedV1,89.0,50.0
288,AllMapsGroupedV1,100.0,50.0
776,AllMapsGroupedV1,200.0,50.0
196,AllMapsGroupedV1,12.0,51.0
816,AllMapsGroupedV1,216.0,51.0
543,AllMapsGroupedV1,150.0,52.0
777,AllMapsGroupedV1,200.0,52.0
811,AllMapsGroupedV1,215.0,52.0
621,AllMapsGroupedV1,172.0,53.0
674,AllMapsGroupedV1,180.0,53.0
778,AllMapsGroupedV1,200.0,53.0
812,AllMapsGroupedV1,215.0,53.0
817,AllMapsGroupedV1,216.0,53.0
620,AllMapsGroupedV1,170.0,54.0
675,AllMapsGroupedV1,180.0,54.0
549,AllMapsGroupedV1,155.0,55.0
712,AllMapsGroupedV1,190.0,55.0
988,AllMapsGroupedV1,400.0,55.0
243,AllMapsGroupedV1,1000.0,55.0
388,AllMapsGroupedV1,120.0,56.0
901,AllMapsGroupedV1,272.0,56.0
507,AllMapsGroupedV1,145.0,57.0
603,AllMapsGroupedV1,169.0,57.0
933,AllMapsGroupedV1,300.0,57.0
